chr,stat,end,covtelo
Chr1,4950000,4975000,7
Chr1,4975000,5000000,8
Chr1,5000000,5025000,8
Chr1,5025000,5050000,6
Chr1,5050000,5075000,7
Chr1,5075000,5100000,7
Chr1,5100000,5125000,7
Chr1,5125000,5150000,8
Chr1,5150000,5175000,13
Chr1,5175000,5200000,5
Chr1,5200000,5225000,8
Chr1,5225000,5250000,5
Chr1,5250000,5275000,10
Chr1,5275000,5300000,15
Chr1,5300000,5325000,11
Chr1,5325000,5350000,6
Chr1,5350000,5375000,11
Chr1,5375000,5400000,4
Chr1,5400000,5425000,8
Chr1,5425000,5450000,10
Chr1,5450000,5475000,5
Chr1,5475000,5500000,6
Chr1,5500000,5525000,7
Chr1,5525000,5550000,6
Chr1,5550000,5575000,5
Chr1,5575000,5600000,8
Chr1,5600000,5625000,6
Chr1,5625000,5650000,12
Chr1,5650000,5675000,9
Chr1,5675000,5700000,5
Chr1,5700000,5725000,4
Chr1,5725000,5750000,7
Chr1,5750000,5775000,7
Chr1,5775000,5800000,6
Chr1,5800000,5825000,4
Chr1,5825000,5850000,7
Chr1,5850000,5875000,7
Chr1,5875000,5900000,7
Chr1,5900000,5925000,3
Chr1,5925000,5950000,7
Chr1,5950000,5975000,4
Chr1,5975000,6000000,3
Chr1,6000000,6025000,10
Chr1,6025000,6050000,6
Chr1,6050000,6075000,9
Chr1,6075000,6100000,2
Chr1,6100000,6125000,10
Chr1,6125000,6150000,5
Chr1,6150000,6175000,9
Chr1,6175000,6200000,3
Chr1,6200000,6225000,8
Chr1,6225000,6250000,6
Chr1,6250000,6275000,5
Chr1,6275000,6300000,8
Chr1,6300000,6325000,13
Chr1,6325000,6350000,6
Chr1,6350000,6375000,5
Chr1,6375000,6400000,4
Chr1,6400000,6425000,7
Chr1,6425000,6450000,6
Chr1,6450000,6475000,9
Chr1,6475000,6500000,13
Chr1,6500000,6525000,5
Chr1,6525000,6550000,4
Chr1,6550000,6575000,8
Chr1,6575000,6600000,7
Chr1,6600000,6625000,8
Chr1,6625000,6650000,12
Chr1,6650000,6675000,6
Chr1,6675000,6700000,6
Chr1,6700000,6725000,12
Chr1,6725000,6750000,13
Chr1,6750000,6775000,19
Chr1,6775000,6800000,10
Chr1,6800000,6825000,3
Chr1,6825000,6850000,5
Chr1,6850000,6875000,8
Chr1,6875000,6900000,7
Chr1,6900000,6925000,4
Chr1,6925000,6950000,5
Chr1,6950000,6975000,10
Chr1,6975000,7000000,7
Chr1,7000000,7025000,8
Chr1,7025000,7050000,10
Chr1,7050000,7075000,6
Chr1,7075000,7100000,8
Chr1,7100000,7125000,3
Chr1,7125000,7150000,8
Chr1,7150000,7175000,7
Chr1,7175000,7200000,6
Chr1,7200000,7225000,6
Chr1,7225000,7250000,8
Chr1,7250000,7275000,9
Chr1,7275000,7300000,11
Chr1,7300000,7325000,8
Chr1,7325000,7350000,7
Chr1,7350000,7375000,7
Chr1,7375000,7400000,8
Chr1,7400000,7425000,6
Chr1,7425000,7450000,9
Chr1,7450000,7475000,10
Chr1,7475000,7500000,7
Chr1,7500000,7525000,7
Chr1,7525000,7550000,12
Chr1,7550000,7575000,9
Chr1,7575000,7600000,9
Chr1,7600000,7625000,8
Chr1,7625000,7650000,7
Chr1,7650000,7675000,7
Chr1,7675000,7700000,7
Chr1,7700000,7725000,9
Chr1,7725000,7750000,4
Chr1,7750000,7775000,9
Chr1,7775000,7800000,5
Chr1,7800000,7825000,8
Chr1,7825000,7850000,7
Chr1,7850000,7875000,5
Chr1,7875000,7900000,9
Chr1,7900000,7925000,8
Chr1,7925000,7950000,9
Chr1,7950000,7975000,8
Chr1,7975000,8000000,8
Chr1,8000000,8025000,23
Chr1,8025000,8050000,8
Chr1,8050000,8075000,10
Chr1,8075000,8100000,11
Chr1,8100000,8125000,9
Chr1,8125000,8150000,7
Chr1,8150000,8175000,8
Chr1,8175000,8200000,9
Chr1,8200000,8225000,10
Chr1,8225000,8250000,10
Chr1,8250000,8275000,8
Chr1,8275000,8300000,8
Chr1,8300000,8325000,7
Chr1,8325000,8350000,6
Chr1,8350000,8375000,9
Chr1,8375000,8400000,7
Chr1,8400000,8425000,7
Chr1,8425000,8450000,4
Chr1,8450000,8475000,8
Chr1,8475000,8500000,11
Chr1,8500000,8525000,6
Chr1,8525000,8550000,9
Chr1,8550000,8575000,6
Chr1,8575000,8600000,4
Chr1,8600000,8625000,17
Chr1,8625000,8650000,8
Chr1,8650000,8675000,5
Chr1,8675000,8700000,5
Chr1,8700000,8725000,6
Chr1,8725000,8750000,12
Chr1,8750000,8775000,6
Chr1,8775000,8800000,4
Chr1,8800000,8825000,8
Chr1,8825000,8850000,9
Chr1,8850000,8875000,7
Chr1,8875000,8900000,6
Chr1,8900000,8925000,7
Chr1,8925000,8950000,4
Chr1,8950000,8975000,7
Chr1,8975000,9000000,5
Chr1,9000000,9025000,8
Chr1,9025000,9050000,8
Chr1,9050000,9075000,10
Chr1,9075000,9100000,7
Chr1,9100000,9125000,8
Chr1,9125000,9150000,4
Chr1,9150000,9175000,7
Chr1,9175000,9200000,6
Chr1,9200000,9225000,8
Chr1,9225000,9250000,6
Chr1,9250000,9275000,10
Chr1,9275000,9300000,7
Chr1,9300000,9325000,9
Chr1,9325000,9350000,5
Chr1,9350000,9375000,12
Chr1,9375000,9400000,9
Chr1,9400000,9425000,5
Chr1,9425000,9450000,6
Chr1,9450000,9475000,6
Chr1,9475000,9500000,9
Chr1,9500000,9525000,6
Chr1,9525000,9550000,6
Chr1,9550000,9575000,13
Chr1,9575000,9600000,5
Chr1,9600000,9625000,6
Chr1,9625000,9650000,4
Chr1,9650000,9675000,6
Chr1,9675000,9700000,10
Chr1,9700000,9725000,8
Chr1,9725000,9750000,8
Chr1,9750000,9775000,9
Chr1,9775000,9800000,7
Chr1,9800000,9825000,8
Chr1,9825000,9850000,7
Chr1,9850000,9875000,5
Chr1,9875000,9900000,7
Chr1,9900000,9925000,6
Chr1,9925000,9950000,5
Chr1,9950000,9975000,9
Chr1,9975000,10000000,7
Chr1,10000000,10025000,10
Chr1,10025000,10050000,6
Chr1,10050000,10075000,5
Chr1,10075000,10100000,10
Chr1,10100000,10125000,10
Chr1,10125000,10150000,5
Chr1,10150000,10175000,7
Chr1,10175000,10200000,6
Chr1,10200000,10225000,7
Chr1,10225000,10250000,6
Chr1,10250000,10275000,6
Chr1,10275000,10300000,8
Chr1,10300000,10325000,7
Chr1,10325000,10350000,3
Chr1,10350000,10375000,6
Chr1,10375000,10400000,9
Chr1,10400000,10425000,4
Chr1,10425000,10450000,7
Chr1,10450000,10475000,5
Chr1,10475000,10500000,6
Chr1,10500000,10525000,3
Chr1,10525000,10550000,6
Chr1,10550000,10575000,13
Chr1,10575000,10600000,7
Chr1,10600000,10625000,8
Chr1,10625000,10650000,5
Chr1,10650000,10675000,5
Chr1,10675000,10700000,7
Chr1,10700000,10725000,7
Chr1,10725000,10750000,8
Chr1,10750000,10775000,5
Chr1,10775000,10800000,5
Chr1,10800000,10825000,6
Chr1,10825000,10850000,10
Chr1,10850000,10875000,6
Chr1,10875000,10900000,7
Chr1,10900000,10925000,6
Chr1,10925000,10950000,7
Chr1,10950000,10975000,4
Chr1,10975000,11000000,10
Chr1,11000000,11025000,8
Chr1,11025000,11050000,5
Chr1,11050000,11075000,7
Chr1,11075000,11100000,8
Chr1,11100000,11125000,7
Chr1,11125000,11150000,10
Chr1,11150000,11175000,19
Chr1,11175000,11200000,6
Chr1,11200000,11225000,3
Chr1,11225000,11250000,7
Chr1,11250000,11275000,7
Chr1,11275000,11300000,5
Chr1,11300000,11325000,7
Chr1,11325000,11350000,13
Chr1,11350000,11375000,5
Chr1,11375000,11400000,5
Chr1,11400000,11425000,9
Chr1,11425000,11450000,6
Chr1,11450000,11475000,13
Chr1,11475000,11500000,9
Chr1,11500000,11525000,3
Chr1,11525000,11550000,7
Chr1,11550000,11575000,8
Chr1,11575000,11600000,6
Chr1,11600000,11625000,6
Chr1,11625000,11650000,7
Chr1,11650000,11675000,6
Chr1,11675000,11700000,6
Chr1,11700000,11725000,7
Chr1,11725000,11750000,7
Chr1,11750000,11775000,6
Chr1,11775000,11800000,8
Chr1,11800000,11825000,5
Chr1,11825000,11850000,6
Chr1,11850000,11875000,7
Chr1,11875000,11900000,6
Chr1,11900000,11925000,6
Chr1,11925000,11950000,8
Chr1,11950000,11975000,7
Chr1,11975000,12000000,7
Chr1,12000000,12025000,8
Chr1,12025000,12050000,6
Chr1,12050000,12075000,7
Chr1,12075000,12100000,6
Chr1,12100000,12125000,6
Chr1,12125000,12150000,7
Chr1,12150000,12175000,10
Chr1,12175000,12200000,9
Chr1,12200000,12225000,9
Chr1,12225000,12250000,9
Chr1,12250000,12275000,4
Chr1,12275000,12300000,5
Chr1,12300000,12325000,9
Chr1,12325000,12350000,10
Chr1,12350000,12375000,6
Chr1,12375000,12400000,9
Chr1,12400000,12425000,10
Chr1,12425000,12450000,55
Chr1,12450000,12475000,168
Chr1,12475000,12500000,12
Chr1,12500000,12525000,7
Chr1,12525000,12550000,8
Chr1,12550000,12575000,8
Chr1,12575000,12600000,11
Chr1,12600000,12625000,6
Chr1,12625000,12650000,6
Chr1,12650000,12675000,3
Chr1,12675000,12700000,15
Chr1,12700000,12725000,4
Chr1,12725000,12750000,11
Chr1,12750000,12775000,8
Chr1,12775000,12800000,7
Chr1,12800000,12825000,8
Chr1,12825000,12850000,6
Chr1,12850000,12875000,6
Chr1,12875000,12900000,6
Chr1,12900000,12925000,5
Chr1,12925000,12950000,12
Chr1,12950000,12975000,8
Chr1,12975000,13000000,4
Chr1,13000000,13025000,11
Chr1,13025000,13050000,5
Chr1,13050000,13075000,7
Chr1,13075000,13100000,11
Chr1,13100000,13125000,6
Chr1,13125000,13150000,10
Chr1,13150000,13175000,4
Chr1,13175000,13200000,4
Chr1,13200000,13225000,7
Chr1,13225000,13250000,8
Chr1,13250000,13275000,5
Chr1,13275000,13300000,9
Chr1,13300000,13325000,4
Chr1,13325000,13350000,11
Chr1,13350000,13375000,4
Chr1,13375000,13400000,8
Chr1,13400000,13425000,6
Chr1,13425000,13450000,7
Chr1,13450000,13475000,9
Chr1,13475000,13500000,8
Chr1,13500000,13525000,5
Chr1,13525000,13550000,6
Chr1,13550000,13575000,6
Chr1,13575000,13600000,8
Chr1,13600000,13625000,14
Chr1,13625000,13650000,12
Chr1,13650000,13675000,17
Chr1,13675000,13700000,7
Chr1,13700000,13725000,8
Chr1,13725000,13750000,8
Chr1,13750000,13775000,11
Chr1,13775000,13800000,9
Chr1,13800000,13825000,9
Chr1,13825000,13850000,5
Chr1,13850000,13875000,12
Chr1,13875000,13900000,6
Chr1,13900000,13925000,8
Chr1,13925000,13950000,8
Chr1,13950000,13975000,5
Chr1,13975000,14000000,8
Chr1,14000000,14025000,6
Chr1,14025000,14050000,6
Chr1,14050000,14075000,6
Chr1,14075000,14100000,8
Chr1,14100000,14125000,9
Chr1,14125000,14150000,6
Chr1,14150000,14175000,8
Chr1,14175000,14200000,9
Chr1,14200000,14225000,9
Chr1,14225000,14250000,10
Chr1,14250000,14275000,7
Chr1,14275000,14300000,12
Chr1,14300000,14325000,10
Chr1,14325000,14350000,11
Chr1,14350000,14375000,9
Chr1,14375000,14400000,12
Chr1,14400000,14425000,8
Chr1,14425000,14450000,7
Chr1,14450000,14475000,9
Chr1,14475000,14500000,7
Chr1,14500000,14525000,7
Chr1,14525000,14550000,12
Chr1,14550000,14575000,8
Chr1,14575000,14600000,8
Chr1,14600000,14625000,10
Chr1,14625000,14650000,5
Chr1,14650000,14675000,6
Chr1,14675000,14700000,6
Chr1,14700000,14725000,5
Chr1,14725000,14750000,5
Chr1,14750000,14775000,10
Chr1,14775000,14800000,6
Chr1,14800000,14825000,6
Chr1,14825000,14850000,10
Chr1,14850000,14875000,11
Chr1,14875000,14900000,9
Chr1,14900000,14925000,10
Chr1,14925000,14950000,10
Chr1,14950000,14975000,2
Chr1,14975000,15000000,9
Chr1,15000000,15025000,11
Chr1,15025000,15050000,8
Chr1,15050000,15075000,8
Chr1,15075000,15100000,11
Chr1,15100000,15125000,8
Chr1,15125000,15150000,5
Chr1,15150000,15175000,9
Chr1,15175000,15200000,3
Chr1,15200000,15225000,9
Chr1,15225000,15250000,10
Chr1,15250000,15275000,5
Chr1,15275000,15300000,9
Chr1,15300000,15325000,5
Chr1,15325000,15350000,8
Chr1,15350000,15375000,10
Chr1,15375000,15400000,6
Chr1,15400000,15425000,10
Chr1,15425000,15450000,12
Chr1,15450000,15475000,4
Chr1,15475000,15500000,6
Chr1,15500000,15525000,7
Chr1,15525000,15550000,4
Chr1,15550000,15575000,6
Chr1,15575000,15600000,8
Chr1,15600000,15625000,6
Chr1,15625000,15650000,8
Chr1,15650000,15675000,7
Chr1,15675000,15700000,9
Chr1,15700000,15725000,9
Chr1,15725000,15750000,10
Chr1,15750000,15775000,8
Chr1,15775000,15800000,5
Chr1,15800000,15825000,7
Chr1,15825000,15850000,9
Chr1,15850000,15875000,4
Chr1,15875000,15900000,7
Chr1,15900000,15925000,3
Chr1,15925000,15950000,11
Chr1,15950000,15975000,8
Chr1,15975000,16000000,4
Chr1,16000000,16025000,11
Chr1,16025000,16050000,5
Chr1,16050000,16075000,10
Chr1,16075000,16100000,3
Chr1,16100000,16125000,3
Chr1,16125000,16150000,10
Chr1,16150000,16175000,6
Chr1,16175000,16200000,6
Chr1,16200000,16225000,6
Chr1,16225000,16250000,6
Chr1,16250000,16275000,7
Chr1,16275000,16300000,9
Chr1,16300000,16325000,9
Chr1,16325000,16350000,4
Chr1,16350000,16375000,8
Chr1,16375000,16400000,4
Chr1,16400000,16425000,3
Chr1,16425000,16450000,8
Chr1,16450000,16475000,3
Chr1,16475000,16500000,4
Chr1,16500000,16525000,5
Chr1,16525000,16550000,14
Chr1,16550000,16575000,8
Chr1,16575000,16600000,7
Chr1,16600000,16625000,5
Chr1,16625000,16650000,5
Chr1,16650000,16675000,14
Chr1,16675000,16700000,7
Chr1,16700000,16725000,12
Chr1,16725000,16750000,4
Chr1,16750000,16775000,7
Chr1,16775000,16800000,7
Chr1,16800000,16825000,10
Chr1,16825000,16850000,6
Chr1,16850000,16875000,8
Chr1,16875000,16900000,11
Chr1,16900000,16925000,4
Chr1,16925000,16950000,5
Chr1,16950000,16975000,6
Chr1,16975000,17000000,10
Chr1,17000000,17025000,8
Chr1,17025000,17050000,8
Chr1,17050000,17075000,7
Chr1,17075000,17100000,9
Chr1,17100000,17125000,6
Chr1,17125000,17150000,11
Chr1,17150000,17175000,11
Chr1,17175000,17200000,6
Chr1,17200000,17225000,8
Chr1,17225000,17250000,8
Chr1,17250000,17275000,4
Chr1,17275000,17300000,5
Chr1,17300000,17325000,7
Chr1,17325000,17350000,7
Chr1,17350000,17375000,5
Chr1,17375000,17400000,3
Chr1,17400000,17425000,6
Chr1,17425000,17450000,3
Chr1,17450000,17475000,4
Chr1,17475000,17500000,7
Chr1,17500000,17525000,7
Chr1,17525000,17550000,7
Chr1,17550000,17575000,7
Chr1,17575000,17600000,7
Chr1,17600000,17625000,10
Chr1,17625000,17650000,4
Chr1,17650000,17675000,10
Chr1,17675000,17700000,7
Chr1,17700000,17725000,6
Chr1,17725000,17750000,6
Chr1,17750000,17775000,6
Chr1,17775000,17800000,4
Chr1,17800000,17825000,6
Chr1,17825000,17850000,7
Chr1,17850000,17875000,9
Chr1,17875000,17900000,7
Chr1,17900000,17925000,5
Chr1,17925000,17950000,7
Chr1,17950000,17975000,7
Chr1,17975000,18000000,8
Chr1,18000000,18025000,9
Chr1,18025000,18050000,8
Chr1,18050000,18075000,8
Chr1,18075000,18100000,4
Chr1,18100000,18125000,5
Chr1,18125000,18150000,6
Chr1,18150000,18175000,8
Chr1,18175000,18200000,6
Chr1,18200000,18225000,8
Chr1,18225000,18250000,4
Chr1,18250000,18275000,11
Chr1,18275000,18300000,9
Chr1,18300000,18325000,9
Chr1,18325000,18350000,6
Chr1,18350000,18375000,4
Chr1,18375000,18400000,8
Chr1,18400000,18425000,8
Chr1,18425000,18450000,8
Chr1,18450000,18475000,9
Chr1,18475000,18500000,4
Chr1,18500000,18525000,7
Chr1,18525000,18550000,4
Chr1,18550000,18575000,8
Chr1,18575000,18600000,2
Chr1,18600000,18625000,5
Chr1,18625000,18650000,7
Chr1,18650000,18675000,6
Chr1,18675000,18700000,9
Chr1,18700000,18725000,11
Chr1,18725000,18750000,8
Chr1,18750000,18775000,8
Chr1,18775000,18800000,3
Chr1,18800000,18825000,8
Chr1,18825000,18850000,7
Chr1,18850000,18875000,5
Chr1,18875000,18900000,8
Chr1,18900000,18925000,4
Chr1,18925000,18950000,5
Chr1,18950000,18975000,8
Chr1,18975000,19000000,8
Chr1,19000000,19025000,8
Chr1,19025000,19050000,6
Chr1,19050000,19075000,5
Chr1,19075000,19100000,10
Chr1,19100000,19125000,7
Chr1,19125000,19150000,5
Chr1,19150000,19175000,8
Chr1,19175000,19200000,7
Chr1,19200000,19225000,3
Chr1,19225000,19250000,3
Chr1,19250000,19275000,7
Chr1,19275000,19300000,6
Chr1,19300000,19325000,9
Chr1,19325000,19350000,6
Chr1,19350000,19375000,3
Chr1,19375000,19400000,8
Chr1,19400000,19425000,7
Chr1,19425000,19450000,7
Chr1,19450000,19475000,9
Chr1,19475000,19500000,7
Chr1,19500000,19525000,4
Chr1,19525000,19550000,4
Chr1,19550000,19575000,3
Chr1,19575000,19600000,4
Chr1,19600000,19625000,5
Chr1,19625000,19650000,5
Chr1,19650000,19675000,7
Chr1,19675000,19700000,5
Chr1,19700000,19725000,5
Chr1,19725000,19750000,2
Chr1,19750000,19775000,4
Chr1,19775000,19800000,4
Chr1,19800000,19825000,5
Chr1,19825000,19850000,6
Chr1,19850000,19875000,8
Chr1,19875000,19900000,7
Chr1,19900000,19925000,9
Chr1,19925000,19950000,8
Chr1,19950000,19975000,4
Chr1,19975000,20000000,4
Chr1,20000000,20025000,12
Chr1,20025000,20050000,6
Chr1,20050000,20075000,7
Chr1,20075000,20100000,7
Chr1,20100000,20125000,3
Chr1,20125000,20150000,5
Chr1,20150000,20175000,9
Chr1,20175000,20200000,8
Chr1,20200000,20225000,9
Chr1,20225000,20250000,2
Chr1,20250000,20275000,6
Chr1,20275000,20300000,7
Chr1,20300000,20325000,10
Chr1,20325000,20350000,11
Chr1,20350000,20375000,5
Chr1,20375000,20400000,8
Chr1,20400000,20425000,6
Chr1,20425000,20450000,6
Chr1,20450000,20475000,7
Chr1,20475000,20500000,7
Chr1,20500000,20525000,8
Chr1,20525000,20550000,11
Chr1,20550000,20575000,3
Chr1,20575000,20600000,5
Chr1,20600000,20625000,6
Chr1,20625000,20650000,7
Chr1,20650000,20675000,7
Chr1,20675000,20700000,5
Chr1,20700000,20725000,7
Chr1,20725000,20750000,6
Chr1,20750000,20775000,5
Chr1,20775000,20800000,9
Chr1,20800000,20825000,7
Chr1,20825000,20850000,13
Chr1,20850000,20875000,9
Chr1,20875000,20900000,3
Chr1,20900000,20925000,5
Chr1,20925000,20950000,12
Chr1,20950000,20975000,5
Chr1,20975000,21000000,5
Chr1,21000000,21025000,6
Chr1,21025000,21050000,14
Chr1,21050000,21075000,5
Chr1,21075000,21100000,12
Chr1,21100000,21125000,7
Chr1,21125000,21150000,7
Chr1,21150000,21175000,5
Chr1,21175000,21200000,7
Chr1,21200000,21225000,9
Chr1,21225000,21250000,6
Chr1,21250000,21275000,6
Chr1,21275000,21300000,3
Chr1,21300000,21325000,7
Chr1,21325000,21350000,5
Chr1,21350000,21375000,6
Chr1,21375000,21400000,7
Chr1,21400000,21425000,4
Chr1,21425000,21450000,4
Chr1,21450000,21475000,7
Chr1,21475000,21500000,7
Chr1,21500000,21525000,6
Chr1,21525000,21550000,4
Chr1,21550000,21575000,7
Chr1,21575000,21600000,7
Chr1,21600000,21625000,8
Chr1,21625000,21650000,8
Chr1,21650000,21675000,5
Chr1,21675000,21700000,0
Chr1,21700000,21725000,0
Chr1,21725000,21750000,0
Chr1,21750000,21775000,0
Chr1,21775000,21800000,2
Chr1,21800000,21825000,9
Chr1,21825000,21850000,7
Chr1,21850000,21875000,3
Chr1,21875000,21900000,8
Chr1,21900000,21925000,5
Chr1,21925000,21950000,4
Chr1,21950000,21975000,7
Chr1,21975000,22000000,5
Chr1,22000000,22025000,9
Chr1,22025000,22050000,8
Chr1,22050000,22075000,5
Chr1,22075000,22100000,12
Chr1,22100000,22125000,8
Chr1,22125000,22150000,6
Chr1,22150000,22175000,7
Chr1,22175000,22200000,11
Chr1,22200000,22225000,12
Chr1,22225000,22250000,8
Chr1,22250000,22275000,9
Chr1,22275000,22300000,5
Chr1,22300000,22325000,3
Chr1,22325000,22350000,8
Chr1,22350000,22375000,6
Chr1,22375000,22400000,8
Chr1,22400000,22425000,5
Chr1,22425000,22450000,6
Chr1,22450000,22475000,4
Chr1,22475000,22500000,9
Chr1,22500000,22525000,10
Chr1,22525000,22550000,7
Chr1,22550000,22575000,9
Chr1,22575000,22600000,8
Chr1,22600000,22625000,9
Chr1,22625000,22650000,12
Chr1,22650000,22675000,11
Chr1,22675000,22700000,6
Chr1,22700000,22725000,9
Chr1,22725000,22750000,3
Chr1,22750000,22775000,6
Chr1,22775000,22800000,8
Chr1,22800000,22825000,4
Chr1,22825000,22850000,8
Chr1,22850000,22875000,7
Chr1,22875000,22900000,7
Chr1,22900000,22925000,5
Chr1,22925000,22950000,7
Chr1,22950000,22975000,7
Chr1,22975000,23000000,4
Chr1,23000000,23025000,4
Chr1,23025000,23050000,7
Chr1,23050000,23075000,7
Chr1,23075000,23100000,8
Chr1,23100000,23125000,3
Chr1,23125000,23150000,4
Chr1,23150000,23175000,8
Chr1,23175000,23200000,4
Chr1,23200000,23225000,6
Chr1,23225000,23250000,3
Chr1,23250000,23275000,4
Chr1,23275000,23300000,8
Chr1,23300000,23325000,6
Chr1,23325000,23350000,2
Chr1,23350000,23375000,5
Chr1,23375000,23400000,7
