term,ID,gene_number,Background number,p_value,p_value_adjusted,enrich_ratio
multicellular organism development,GO:0007275,358,619,4.65415E-07,5.02111E-06,0.578352181
Golgi apparatus,GO:0005794,314,533,7.08882E-07,7.50344E-06,0.589118199
potassium ion import across plasma membrane,GO:1990573,62,62,1.10382E-06,1.14558E-05,1
RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000978,220,349,1.12312E-06,1.14558E-05,0.630372493
protein tyrosine phosphatase activity,GO:0004725,98,122,1.27868E-06,1.25849E-05,0.803278689
neurogenesis,GO:0022008,53,53,6.42466E-06,6.00706E-05,1
"transferase activity, transferring glycosyl groups",GO:0016757,162,248,6.64501E-06,6.06457E-05,0.653225806
focal adhesion,GO:0005925,58,61,6.70238E-06,6.06457E-05,0.950819672
nuclear receptor activity,GO:0004879,53,54,9.10722E-06,8.10977E-05,0.981481481
positive regulation of GTPase activity,GO:0043547,66,77,1.61282E-05,0.000139198,0.857142857
cytokine-mediated signaling pathway,GO:0019221,54,59,2.77467E-05,0.000235847,0.915254237
determination of heart left/right asymmetry,GO:0061371,55,61,3.10739E-05,0.000260186,0.901639344
blood vessel morphogenesis,GO:0048514,48,50,3.41841E-05,0.000277931,0.96
positive regulation of transcription by RNA polymerase II,GO:0045944,304,549,3.96748E-05,0.000317965,0.553734062
heme binding,GO:0020037,111,162,4.3269E-05,0.000341886,0.685185185
sensory perception of sound,GO:0007605,46,48,5.07025E-05,0.000395057,0.958333333
positive regulation of ERK1 and ERK2 cascade,GO:0070374,66,82,6.09436E-05,0.000468254,0.804878049
retina layer formation,GO:0010842,45,47,6.17662E-05,0.000468254,0.957446809
proteolysis,GO:0006508,296,537,6.31934E-05,0.000472687,0.551210428
cilium,GO:0005929,85,116,6.45046E-05,0.000476146,0.732758621
sulfotransferase activity,GO:0008146,61,75,9.26164E-05,0.000666125,0.813333333
muscle organ development,GO:0007517,38,38,0.000124491,0.000884046,1
skeletal muscle tissue development,GO:0007519,53,63,0.000144843,0.001015712,0.841269841
metallopeptidase activity,GO:0008237,86,122,0.00015025,0.001040623,0.704918033
positive regulation of canonical Wnt signaling pathway,GO:0090263,42,45,0.000155116,0.001061223,0.933333333
locomotory behavior,GO:0007626,46,52,0.000178768,0.001208296,0.884615385
structural molecule activity,GO:0005198,86,123,0.000182328,0.00121769,0.699186992
cell migration involved in gastrulation,GO:0042074,55,68,0.000219499,0.001442844,0.808823529
axonogenesis,GO:0007409,59,75,0.000221185,0.001442844,0.786666667
mediator complex,GO:0016592,40,43,0.000230424,0.001485838,0.930232558
determination of left/right symmetry,GO:0007368,77,108,0.000251998,0.001606485,0.712962963
cell projection organization,GO:0030030,48,57,0.000286002,0.001802777,0.842105263
guanyl-nucleotide exchange factor activity,GO:0005085,102,157,0.000348748,0.00217386,0.649681529
G protein-coupled peptide receptor activity,GO:0008528,48,58,0.000374902,0.00231121,0.827586207
dorsal/ventral pattern formation,GO:0009953,78,112,0.00038367,0.002339552,0.696428571
lipid catabolic process,GO:0016042,50,63,0.000557267,0.00336158,0.793650794
negative regulation of canonical Wnt signaling pathway,GO:0090090,47,58,0.00058895,0.003514906,0.810344828
acetylgalactosaminyltransferase activity,GO:0008376,36,40,0.000697037,0.00407331,0.9
mRNA 3'-UTR binding,GO:0003730,36,40,0.000697037,0.00407331,0.9
calcium-dependent phospholipid binding,GO:0005544,51,66,0.000752931,0.004354581,0.772727273
catenin complex,GO:0016342,31,33,0.001004389,0.005749614,0.939393939
endoplasmic reticulum,GO:0005783,307,595,0.001238542,0.007018405,0.515966387
protein heterodimerization activity,GO:0046982,90,143,0.001503498,0.008295566,0.629370629
phospholipid binding,GO:0005543,42,53,0.001508285,0.008295566,0.79245283
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016616,39,48,0.001597522,0.008701065,0.8125
synaptic vesicle,GO:0008021,57,81,0.00183257,0.009791162,0.703703704
"DNA-binding transcription repressor activity, RNA polymerase II-specific",GO:0001227,54,76,0.002047973,0.0108388,0.710526316
protein glycosylation,GO:0006486,79,124,0.002208521,0.011579255,0.637096774
GDP binding,GO:0019003,27,29,0.002255699,0.011717101,0.931034483
DNA repair,GO:0006281,110,186,0.002326341,0.011973187,0.591397849
steroid hormone receptor activity,GO:0003707,53,76,0.002961266,0.014966398,0.697368421
phosphatase activity,GO:0016791,95,158,0.003101947,0.015537432,0.601265823
structural constituent of eye lens,GO:0005212,46,64,0.003599415,0.017869661,0.71875
midbody,GO:0030496,27,31,0.0041945,0.020461866,0.870967742
protein serine/threonine kinase activity,GO:0004674,269,530,0.004448193,0.021512382,0.50754717
DNA replication origin binding,GO:0003688,20,20,0.004816111,0.023092636,1
negative regulation of transcription by RNA polymerase II,GO:0000122,171,320,0.004954939,0.023440451,0.534375
membrane raft,GO:0045121,29,35,0.004972217,0.023440451,0.828571429
embryonic viscerocranium morphogenesis,GO:0048703,68,109,0.006045532,0.028084084,0.623853211
"retrograde transport, endosome to Golgi",GO:0042147,32,41,0.006057351,0.028084084,0.780487805
glomerular visceral epithelial cell development,GO:0072015,22,24,0.006277206,0.028864856,0.916666667
endomembrane system,GO:0012505,61,96,0.006772888,0.030890976,0.635416667
DNA replication initiation,GO:0006270,20,21,0.006837916,0.030936056,0.952380952
positive regulation of axonogenesis,GO:0050772,18,18,0.007328507,0.032629307,1
DNA replication,GO:0006260,56,88,0.008969587,0.039621562,0.636363636
metalloendopeptidase activity,GO:0004222,72,120,0.009336374,0.040919578,0.6
interstrand cross-link repair,GO:0036297,20,22,0.009499436,0.041311502,0.909090909
protein targeting to vacuole,GO:0006623,18,19,0.010405933,0.044905605,0.947368421
clathrin-coated vesicle,GO:0030136,21,24,0.010525695,0.045075684,0.875
voltage-gated sodium channel activity,GO:0005248,16,16,0.011205811,0.047624696,1
