chr,start,end,covilm
Chr1,3225000,3250000,23.8429
Chr1,3250000,3275000,24.5477
Chr1,3275000,3300000,26.37
Chr1,3300000,3325000,25.7281
Chr1,3325000,3350000,25.9507
Chr1,3350000,3375000,28.3325
Chr1,3375000,3400000,31.3788
Chr1,3400000,3425000,35.5249
Chr1,3425000,3450000,26.8441
Chr1,3450000,3475000,31.9384
Chr1,3475000,3500000,24.7734
Chr1,3500000,3525000,20.1774
Chr1,3525000,3550000,22.1642
Chr1,3550000,3575000,22.0078
Chr1,3575000,3600000,23.1318
Chr1,3600000,3625000,15.283
Chr1,3625000,3650000,17.2763
Chr1,3650000,3675000,19.8887
Chr1,3675000,3700000,22.7141
Chr1,3700000,3725000,16.2216
Chr1,3725000,3750000,22.0755
Chr1,3750000,3775000,21.5336
Chr1,3775000,3800000,21.5981
Chr1,3800000,3825000,22.1384
Chr1,3825000,3850000,22.1464
Chr1,3850000,3875000,22.1255
Chr1,3875000,3900000,21.7546
Chr1,3900000,3925000,24.8686
Chr1,3925000,3950000,27.6504
Chr1,3950000,3975000,25.5233
Chr1,3975000,4000000,19.0486
Chr1,4000000,4025000,18.7228
Chr1,4025000,4050000,21.6981
Chr1,4050000,4075000,19.6017
Chr1,4075000,4100000,28.905
Chr1,4100000,4125000,26.6296
Chr1,4125000,4150000,24.8154
Chr1,4150000,4175000,23.8188
Chr1,4175000,4200000,22.9463
Chr1,4200000,4225000,23.3398
Chr1,4225000,4250000,15.4507
Chr1,4250000,4275000,15.6314
Chr1,4275000,4300000,16.3054
Chr1,4300000,4325000,17.6665
Chr1,4325000,4350000,14.2106
Chr1,4350000,4375000,20.1839
Chr1,4375000,4400000,26.9199
Chr1,4400000,4425000,25.9636
Chr1,4425000,4450000,25.5411
Chr1,4450000,4475000,27.5182
Chr1,4475000,4500000,25.8329
Chr1,4500000,4525000,25.8313
Chr1,4525000,4550000,25.2685
Chr1,4550000,4575000,16.586
Chr1,4575000,4600000,20.3338
Chr1,4600000,4625000,19.8662
Chr1,4625000,4650000,19.6162
Chr1,4650000,4675000,25.5975
Chr1,4675000,4700000,27.115
Chr1,4700000,4725000,25.941
Chr1,4725000,4750000,22.9915
Chr1,4750000,4775000,24.5557
Chr1,4775000,4800000,26.8409
Chr1,4800000,4825000,24.5525
Chr1,4825000,4850000,26.0765
Chr1,4850000,4875000,28.1358
Chr1,4875000,4900000,24.8138
Chr1,4900000,4925000,25.2572
Chr1,4925000,4950000,27.1311
Chr1,4950000,4975000,25.8991
Chr1,4975000,5000000,29.7355
Chr1,5000000,5025000,23.5365
Chr1,5025000,5050000,20.0468
Chr1,5050000,5075000,16.1716
Chr1,5075000,5100000,22.8173
Chr1,5100000,5125000,32.498
Chr1,5125000,5150000,26.4506
Chr1,5150000,5175000,26.1168
Chr1,5175000,5200000,21.7046
Chr1,5200000,5225000,15.4314
Chr1,5225000,5250000,15.2717
Chr1,5250000,5275000,14.5461
Chr1,5275000,5300000,21.0756
Chr1,5300000,5325000,17.0747
Chr1,5325000,5350000,15.5701
Chr1,5350000,5375000,16.1748
Chr1,5375000,5400000,14.4815
Chr1,5400000,5425000,16.3151
Chr1,5425000,5450000,16.2925
Chr1,5450000,5475000,28.8679
Chr1,5475000,5500000,22.6254
Chr1,5500000,5525000,25.2024
Chr1,5525000,5550000,23.3511
Chr1,5550000,5575000,18.1358
Chr1,5575000,5600000,15.0298
Chr1,5600000,5625000,14.0719
Chr1,5625000,5650000,15.9103
Chr1,5650000,5675000,23.335
Chr1,5675000,5700000,24.8492
Chr1,5700000,5725000,27.6101
Chr1,5725000,5750000,28.0197
Chr1,5750000,5775000,27.1585
Chr1,5775000,5800000,28.4454
Chr1,5800000,5825000,23.2269
Chr1,5825000,5850000,18.2326
Chr1,5850000,5875000,17.1102
Chr1,5875000,5900000,21.4288
Chr1,5900000,5925000,22.0497
Chr1,5925000,5950000,19.4985
Chr1,5950000,5975000,18.5019
Chr1,5975000,6000000,19.5194
Chr1,6000000,6025000,16.6796
Chr1,6025000,6050000,21.8723
Chr1,6050000,6075000,17.5778
Chr1,6075000,6100000,20.7967
Chr1,6100000,6125000,18.9937
Chr1,6125000,6150000,20.6515
Chr1,6150000,6175000,19.7694
Chr1,6175000,6200000,22.1158
Chr1,6200000,6225000,17.8536
Chr1,6225000,6250000,20.0565
Chr1,6250000,6275000,16.32
Chr1,6275000,6300000,17.5198
Chr1,6300000,6325000,22.9689
Chr1,6325000,6350000,25.5475
Chr1,6350000,6375000,27.0586
Chr1,6375000,6400000,25.2717
Chr1,6400000,6425000,23.2269
Chr1,6425000,6450000,25.1831
Chr1,6450000,6475000,26.3038
Chr1,6475000,6500000,25.1863
Chr1,6500000,6525000,25.9684
Chr1,6525000,6550000,26.1119
Chr1,6550000,6575000,26.1652
Chr1,6575000,6600000,24.3816
Chr1,6600000,6625000,23.5801
Chr1,6625000,6650000,24.5315
Chr1,6650000,6675000,24.2574
Chr1,6675000,6700000,23.2898
Chr1,6700000,6725000,26.6893
Chr1,6725000,6750000,26.07
Chr1,6750000,6775000,26.6538
Chr1,6775000,6800000,25.4024
Chr1,6800000,6825000,25.0637
Chr1,6825000,6850000,25.5411
Chr1,6850000,6875000,26.7441
Chr1,6875000,6900000,27.0118
Chr1,6900000,6925000,27.6875
Chr1,6925000,6950000,26.0765
Chr1,6950000,6975000,29.6791
Chr1,6975000,7000000,34.18
Chr1,7000000,7025000,28.2019
Chr1,7025000,7050000,29.3759
Chr1,7050000,7075000,26.2409
Chr1,7075000,7100000,24.667
Chr1,7100000,7125000,25.7749
Chr1,7125000,7150000,26.7554
Chr1,7150000,7175000,27.2682
Chr1,7175000,7200000,27.752
Chr1,7200000,7225000,28.8131
Chr1,7225000,7250000,28.4809
Chr1,7250000,7275000,26.5328
Chr1,7275000,7300000,28.0052
Chr1,7300000,7325000,25.6749
Chr1,7325000,7350000,29.6549
Chr1,7350000,7375000,27.4133
Chr1,7375000,7400000,24.8831
Chr1,7400000,7425000,29.1727
Chr1,7425000,7450000,30.8257
Chr1,7450000,7475000,28.489
Chr1,7475000,7500000,26.7183
Chr1,7500000,7525000,25.8281
Chr1,7525000,7550000,25.6007
Chr1,7550000,7575000,23.9478
Chr1,7575000,7600000,29.0405
Chr1,7600000,7625000,28.1181
Chr1,7625000,7650000,31.9126
Chr1,7650000,7675000,27.8681
Chr1,7675000,7700000,26.9941
Chr1,7700000,7725000,27.6101
Chr1,7725000,7750000,27.2892
Chr1,7750000,7775000,27.5053
Chr1,7775000,7800000,27.1924
Chr1,7800000,7825000,26.807
Chr1,7825000,7850000,27.3553
Chr1,7850000,7875000,26.2571
Chr1,7875000,7900000,24.7654
Chr1,7900000,7925000,28.1261
Chr1,7925000,7950000,31.4498
Chr1,7950000,7975000,26.3909
Chr1,7975000,8000000,32.8157
Chr1,8000000,8025000,29.8001
Chr1,8025000,8050000,32.011
Chr1,8050000,8075000,27.1327
Chr1,8075000,8100000,26.8312
Chr1,8100000,8125000,27.6439
Chr1,8125000,8150000,26.936
Chr1,8150000,8175000,26.9602
Chr1,8175000,8200000,28.1616
Chr1,8200000,8225000,28.5519
Chr1,8225000,8250000,31.353
Chr1,8250000,8275000,28.639
Chr1,8275000,8300000,27.6617
Chr1,8300000,8325000,26.6635
Chr1,8325000,8350000,28.4132
Chr1,8350000,8375000,29.0937
Chr1,8375000,8400000,36.9586
Chr1,8400000,8425000,32.1271
Chr1,8425000,8450000,31.7094
Chr1,8450000,8475000,43.0721
Chr1,8475000,8500000,25.5443
Chr1,8500000,8525000,29.7226
Chr1,8525000,8550000,26.2909
Chr1,8550000,8575000,27.0392
Chr1,8575000,8600000,26.199
Chr1,8600000,8625000,24.5541
Chr1,8625000,8650000,25.3621
Chr1,8650000,8675000,27.1118
Chr1,8675000,8700000,25.2347
Chr1,8700000,8725000,25.0573
Chr1,8725000,8750000,27.1569
Chr1,8750000,8775000,30.5661
Chr1,8775000,8800000,30.1516
Chr1,8800000,8825000,25.4282
Chr1,8825000,8850000,22.9237
Chr1,8850000,8875000,27.8149
Chr1,8875000,8900000,28.0971
Chr1,8900000,8925000,27.7197
Chr1,8925000,8950000,27.5536
Chr1,8950000,8975000,25.9684
Chr1,8975000,9000000,28.3261
Chr1,9000000,9025000,25.6023
Chr1,9025000,9050000,29.2518
Chr1,9050000,9075000,26.9554
Chr1,9075000,9100000,30.5532
Chr1,9100000,9125000,30.0468
Chr1,9125000,9150000,27.7633
Chr1,9150000,9175000,31.4772
Chr1,9175000,9200000,29.2066
Chr1,9200000,9225000,27.0989
Chr1,9225000,9250000,28.1697
Chr1,9250000,9275000,26.8086
Chr1,9275000,9300000,26.328
Chr1,9300000,9325000,29.4582
Chr1,9325000,9350000,24.9073
Chr1,9350000,9375000,27.3892
Chr1,9375000,9400000,25.2411
Chr1,9400000,9425000,30.0081
Chr1,9425000,9450000,27.1521
Chr1,9450000,9475000,25.8249
Chr1,9475000,9500000,24.6428
Chr1,9500000,9525000,31.8707
Chr1,9525000,9550000,29.0276
Chr1,9550000,9575000,27.4537
Chr1,9575000,9600000,26.3845
Chr1,9600000,9625000,29.1485
Chr1,9625000,9650000,29.5598
Chr1,9650000,9675000,26.6135
Chr1,9675000,9700000,29.1502
Chr1,9700000,9725000,29.3243
Chr1,9725000,9750000,30.7838
Chr1,9750000,9775000,27.7988
Chr1,9775000,9800000,29.2501
Chr1,9800000,9825000,28.5293
Chr1,9825000,9850000,25.7185
Chr1,9850000,9875000,24.9944
Chr1,9875000,9900000,27.1521
Chr1,9900000,9925000,29.205
Chr1,9925000,9950000,25.5523
Chr1,9950000,9975000,29.6533
Chr1,9975000,10000000,24.8347
Chr1,10000000,10025000,23.7252
Chr1,10025000,10050000,26.0394
Chr1,10050000,10075000,25.1153
Chr1,10075000,10100000,25.1637
Chr1,10100000,10125000,25.5878
Chr1,10125000,10150000,26.8634
Chr1,10150000,10175000,25.4572
Chr1,10175000,10200000,31.474
Chr1,10200000,10225000,20.6467
Chr1,10225000,10250000,20.5338
Chr1,10250000,10275000,16.4006
Chr1,10275000,10300000,20.0468
Chr1,10300000,10325000,15.4927
Chr1,10325000,10350000,16.1135
Chr1,10350000,10375000,16.0394
Chr1,10375000,10400000,20.3242
Chr1,10400000,10425000,18.5293
Chr1,10425000,10450000,27.3246
Chr1,10450000,10475000,22.4335
Chr1,10475000,10500000,26.7231
Chr1,10500000,10525000,32.1158
Chr1,10525000,10550000,22.6448
Chr1,10550000,10575000,19.055
Chr1,10575000,10600000,15.8555
Chr1,10600000,10625000,18.7018
Chr1,10625000,10650000,23.6962
Chr1,10650000,10675000,22.9802
Chr1,10675000,10700000,24.3945
Chr1,10700000,10725000,23.164
Chr1,10725000,10750000,25.8475
Chr1,10750000,10775000,27.6617
Chr1,10775000,10800000,30.8628
Chr1,10800000,10825000,29.5114
Chr1,10825000,10850000,30.9144
Chr1,10850000,10875000,27.4553
Chr1,10875000,10900000,26.0039
Chr1,10900000,10925000,26.1345
Chr1,10925000,10950000,26.4683
Chr1,10950000,10975000,23.1479
Chr1,10975000,11000000,22.5319
Chr1,11000000,11025000,27.6343
Chr1,11025000,11050000,27.1682
Chr1,11050000,11075000,26.8489
Chr1,11075000,11100000,21.4772
Chr1,11100000,11125000,21.6062
Chr1,11125000,11150000,25.454
Chr1,11150000,11175000,18.06
Chr1,11175000,11200000,24.9589
Chr1,11200000,11225000,27.9971
Chr1,11225000,11250000,27.007
Chr1,11250000,11275000,26.7586
Chr1,11275000,11300000,21.145
Chr1,11300000,11325000,17.9165
Chr1,11325000,11350000,15.9539
Chr1,11350000,11375000,16.0377
Chr1,11375000,11400000,16.8263
Chr1,11400000,11425000,15.1347
Chr1,11425000,11450000,19.4195
Chr1,11450000,11475000,27.3875
Chr1,11475000,11500000,20.7612
Chr1,11500000,11525000,16.1216
Chr1,11525000,11550000,20.2419
Chr1,11550000,11575000,23.9526
Chr1,11575000,11600000,30.737
Chr1,11600000,11625000,21.253
Chr1,11625000,11650000,26.9731
Chr1,11650000,11675000,22.9302
Chr1,11675000,11700000,22.7383
Chr1,11700000,11725000,17.315
Chr1,11725000,11750000,17.094
Chr1,11750000,11775000,20.5177
Chr1,11775000,11800000,18.5551
Chr1,11800000,11825000,19.9097
Chr1,11825000,11850000,21.5949
Chr1,11850000,11875000,28.0858
Chr1,11875000,11900000,23.0721
Chr1,11900000,11925000,17.8133
Chr1,11925000,11950000,17.3101
Chr1,11950000,11975000,18.06
Chr1,11975000,12000000,15.6781
Chr1,12000000,12025000,17.3424
Chr1,12025000,12050000,16.4345
Chr1,12050000,12075000,14.9686
Chr1,12075000,12100000,18.7889
Chr1,12100000,12125000,18.5648
Chr1,12125000,12150000,18.0148
Chr1,12150000,12175000,21.1756
Chr1,12175000,12200000,25.1621
Chr1,12200000,12225000,28.0181
Chr1,12225000,12250000,25.8797
Chr1,12250000,12275000,24.3832
Chr1,12275000,12300000,25.3282
Chr1,12300000,12325000,27.1731
Chr1,12325000,12350000,25.2137
Chr1,12350000,12375000,24.9412
Chr1,12375000,12400000,26.6151
Chr1,12400000,12425000,24.9799
Chr1,12425000,12450000,24.9831
Chr1,12450000,12475000,24.4654
Chr1,12475000,12500000,24.2106
Chr1,12500000,12525000,26.1523
Chr1,12525000,12550000,24.28
Chr1,12550000,12575000,24.4896
Chr1,12575000,12600000,25.0476
Chr1,12600000,12625000,22.2126
Chr1,12625000,12650000,23.1092
Chr1,12650000,12675000,25.3492
Chr1,12675000,12700000,26.4393
Chr1,12700000,12725000,24.7138
Chr1,12725000,12750000,26.8763
Chr1,12750000,12775000,27.0682
Chr1,12775000,12800000,27.6649
Chr1,12800000,12825000,26.3022
Chr1,12825000,12850000,24.8718
Chr1,12850000,12875000,26.7909
Chr1,12875000,12900000,26.7328
Chr1,12900000,12925000,23.9397
Chr1,12925000,12950000,26.3925
Chr1,12950000,12975000,24.8444
Chr1,12975000,13000000,25.5265
Chr1,13000000,13025000,25.2605
Chr1,13025000,13050000,27.1198
Chr1,13050000,13075000,24.309
Chr1,13075000,13100000,24.8734
Chr1,13100000,13125000,26.2668
Chr1,13125000,13150000,26.4135
Chr1,13150000,13175000,26.7505
Chr1,13175000,13200000,27.9939
Chr1,13200000,13225000,28.5454
Chr1,13225000,13250000,22.8963
Chr1,13250000,13275000,26.2603
Chr1,13275000,13300000,25.3604
Chr1,13300000,13325000,22.8318
Chr1,13325000,13350000,25.0073
Chr1,13350000,13375000,22.7334
Chr1,13375000,13400000,25.1621
Chr1,13400000,13425000,25.0299
Chr1,13425000,13450000,27.0392
Chr1,13450000,13475000,24.8573
Chr1,13475000,13500000,27.0521
Chr1,13500000,13525000,29.0711
Chr1,13525000,13550000,31.2208
Chr1,13550000,13575000,27.9504
Chr1,13575000,13600000,28.1423
Chr1,13600000,13625000,25.8104
Chr1,13625000,13650000,26.0523
Chr1,13650000,13675000,21.6594
Chr1,13675000,13700000,28.0794
Chr1,13700000,13725000,28.2535
Chr1,13725000,13750000,27.4601
Chr1,13750000,13775000,28.081
Chr1,13775000,13800000,16.349
Chr1,13800000,13825000,16.499
Chr1,13825000,13850000,16.2909
Chr1,13850000,13875000,20.7531
Chr1,13875000,13900000,20.7999
Chr1,13900000,13925000,25.2701
Chr1,13925000,13950000,26.6796
Chr1,13950000,13975000,27.7633
Chr1,13975000,14000000,21.0756
Chr1,14000000,14025000,23.3253
Chr1,14025000,14050000,25.6588
Chr1,14050000,14075000,26.936
Chr1,14075000,14100000,25.9507
Chr1,14100000,14125000,26.5957
Chr1,14125000,14150000,28.2277
Chr1,14150000,14175000,26.736
Chr1,14175000,14200000,19.8807
Chr1,14200000,14225000,26.5893
Chr1,14225000,14250000,25.1992
Chr1,14250000,14275000,27.1215
Chr1,14275000,14300000,25.1605
Chr1,14300000,14325000,27.0586
Chr1,14325000,14350000,26.7602
Chr1,14350000,14375000,26.4941
Chr1,14375000,14400000,24.7235
Chr1,14400000,14425000,23.9445
Chr1,14425000,14450000,22.7286
Chr1,14450000,14475000,26.1974
Chr1,14475000,14500000,27.2134
Chr1,14500000,14525000,26.7425
Chr1,14525000,14550000,27.3569
Chr1,14550000,14575000,27.2247
Chr1,14575000,14600000,26.0942
Chr1,14600000,14625000,24.9847
Chr1,14625000,14650000,24.201
Chr1,14650000,14675000,25.7491
Chr1,14675000,14700000,25.4088
Chr1,14700000,14725000,24.9492
Chr1,14725000,14750000,24.8879
Chr1,14750000,14775000,23.593
Chr1,14775000,14800000,22.8947
Chr1,14800000,14825000,26.17
Chr1,14825000,14850000,27.3456
Chr1,14850000,14875000,25.912
Chr1,14875000,14900000,24.5896
Chr1,14900000,14925000,27.3117
Chr1,14925000,14950000,26.8828
Chr1,14950000,14975000,25.2056
Chr1,14975000,15000000,24.8073
Chr1,15000000,15025000,23.6639
Chr1,15025000,15050000,25.1395
Chr1,15050000,15075000,24.9831
Chr1,15075000,15100000,25.5572
Chr1,15100000,15125000,25.3895
Chr1,15125000,15150000,25.912
Chr1,15150000,15175000,26.0974
Chr1,15175000,15200000,25.9281
Chr1,15200000,15225000,25.3379
Chr1,15225000,15250000,26.4941
Chr1,15250000,15275000,23.6414
Chr1,15275000,15300000,25.9555
Chr1,15300000,15325000,29.9549
Chr1,15325000,15350000,26.0507
Chr1,15350000,15375000,24.8815
Chr1,15375000,15400000,24.8492
Chr1,15400000,15425000,22.2835
Chr1,15425000,15450000,22.2222
Chr1,15450000,15475000,24.3413
Chr1,15475000,15500000,24.5138
Chr1,15500000,15525000,24.9283
Chr1,15525000,15550000,26.2958
Chr1,15550000,15575000,25.533
Chr1,15575000,15600000,24.5203
Chr1,15600000,15625000,23.4914
Chr1,15625000,15650000,25.5943
Chr1,15650000,15675000,28.4648
Chr1,15675000,15700000,23.7365
Chr1,15700000,15725000,23.9397
Chr1,15725000,15750000,19.0502
Chr1,15750000,15775000,16.6006
Chr1,15775000,15800000,14.5654
Chr1,15800000,15825000,15.3524
Chr1,15825000,15850000,17.7762
Chr1,15850000,15875000,26.2377
Chr1,15875000,15900000,27.9455
Chr1,15900000,15925000,24.0671
Chr1,15925000,15950000,26.636
Chr1,15950000,15975000,26.4474
Chr1,15975000,16000000,17.752
Chr1,16000000,16025000,23.0689
Chr1,16025000,16050000,24.288
Chr1,16050000,16075000,26.1877
Chr1,16075000,16100000,27.5794
Chr1,16100000,16125000,27.8246
Chr1,16125000,16150000,25.0315
Chr1,16150000,16175000,24.0929
Chr1,16175000,16200000,26.5232
Chr1,16200000,16225000,23.4382
Chr1,16225000,16250000,22.9512
Chr1,16250000,16275000,16.4312
Chr1,16275000,16300000,16.7409
Chr1,16300000,16325000,22.5351
Chr1,16325000,16350000,23.5382
Chr1,16350000,16375000,20.508
Chr1,16375000,16400000,39.2614
Chr1,16400000,16425000,39.8807
Chr1,16425000,16450000,22.0319
Chr1,16450000,16475000,18.5293
Chr1,16475000,16500000,17.4891
Chr1,16500000,16525000,19.8726
Chr1,16525000,16550000,14.9799
Chr1,16550000,16575000,18.9163
Chr1,16575000,16600000,21.295
Chr1,16600000,16625000,14.775
Chr1,16625000,16650000,16.0248
Chr1,16650000,16675000,15.383
Chr1,16675000,16700000,15.7055
Chr1,16700000,16725000,26.7538
Chr1,16725000,16750000,37.2989
Chr1,16750000,16775000,16.0345
Chr1,16775000,16800000,18.2616
Chr1,16800000,16825000,20.2097
Chr1,16825000,16850000,23.106
Chr1,16850000,16875000,20.1919
Chr1,16875000,16900000,20.8547
Chr1,16900000,16925000,19.4533
Chr1,16925000,16950000,15.3056
Chr1,16950000,16975000,16.8312
Chr1,16975000,17000000,20.4757
Chr1,17000000,17025000,20.9112
Chr1,17025000,17050000,23.1463
Chr1,17050000,17075000,17.8407
Chr1,17075000,17100000,24.4122
Chr1,17100000,17125000,26.9586
Chr1,17125000,17150000,22.4045
Chr1,17150000,17175000,26.9392
Chr1,17175000,17200000,19.084
Chr1,17200000,17225000,21.7917
Chr1,17225000,17250000,19.5033
Chr1,17250000,17275000,24.9766
Chr1,17275000,17300000,21.2966
Chr1,17300000,17325000,16.7312
Chr1,17325000,17350000,16.1732
Chr1,17350000,17375000,15.7604
Chr1,17375000,17400000,30.4903
Chr1,17400000,17425000,30.529
Chr1,17425000,17450000,21.3159
Chr1,17450000,17475000,26.4522
Chr1,17475000,17500000,26.9554
Chr1,17500000,17525000,26.8118
Chr1,17525000,17550000,22.0013
Chr1,17550000,17575000,25.1879
Chr1,17575000,17600000,13.3237
Chr1,17600000,17625000,24.7928
Chr1,17625000,17650000,26.7409
Chr1,17650000,17675000,23.4978
Chr1,17675000,17700000,24.6154
Chr1,17700000,17725000,20.3258
Chr1,17725000,17750000,24.7654
Chr1,17750000,17775000,24.0623
Chr1,17775000,17800000,14.3396
Chr1,17800000,17825000,16.8618
Chr1,17825000,17850000,18.5454
Chr1,17850000,17875000,17.0215
Chr1,17875000,17900000,25.4604
Chr1,17900000,17925000,15.8749
Chr1,17925000,17950000,14.7734
Chr1,17950000,17975000,17.5633
Chr1,17975000,18000000,17.1247
Chr1,18000000,18025000,17.0247
Chr1,18025000,18050000,14.7267
Chr1,18050000,18075000,27.5069
Chr1,18075000,18100000,26.8473
Chr1,18100000,18125000,23.8026
Chr1,18125000,18150000,19.3437
Chr1,18150000,18175000,22.3013
Chr1,18175000,18200000,25.0057
Chr1,18200000,18225000,31.9949
Chr1,18225000,18250000,26.0007
Chr1,18250000,18275000,22.8463
Chr1,18275000,18300000,22.9237
Chr1,18300000,18325000,26.8683
Chr1,18325000,18350000,24.4058
Chr1,18350000,18375000,22.4254
Chr1,18375000,18400000,20.2903
Chr1,18400000,18425000,24.5122
Chr1,18425000,18450000,23.9316
Chr1,18450000,18475000,21.9481
Chr1,18475000,18500000,25.7813
Chr1,18500000,18525000,26.4893
Chr1,18525000,18550000,29.5211
Chr1,18550000,18575000,22.6399
Chr1,18575000,18600000,26.4683
Chr1,18600000,18625000,26.2458
Chr1,18625000,18650000,25.0734
Chr1,18650000,18675000,25.9942
Chr1,18675000,18700000,28.3084
Chr1,18700000,18725000,28.1761
Chr1,18725000,18750000,28.6148
Chr1,18750000,18775000,28.3035
Chr1,18775000,18800000,30.2774
Chr1,18800000,18825000,26.9989
Chr1,18825000,18850000,33.8026
Chr1,18850000,18875000,28.0939
Chr1,18875000,18900000,28.9857
Chr1,18900000,18925000,45.0315
Chr1,18925000,18950000,39.0986
Chr1,18950000,18975000,37.5972
Chr1,18975000,19000000,38.9986
Chr1,19000000,19025000,36.2942
Chr1,19025000,19050000,34.0784
Chr1,19050000,19075000,24.9073
Chr1,19075000,19100000,33.0431
Chr1,19100000,19125000,33.8833
Chr1,19125000,19150000,24.8121
Chr1,19150000,19175000,23.2785
Chr1,19175000,19200000,20.9337
Chr1,19200000,19225000,29.5275
Chr1,19225000,19250000,30.6144
Chr1,19250000,19275000,18.2035
Chr1,19275000,19300000,22.3383
Chr1,19300000,19325000,24.7057
Chr1,19325000,19350000,31.1434
Chr1,19350000,19375000,34.9396
Chr1,19375000,19400000,22.9834
Chr1,19400000,19425000,22.8092
Chr1,19425000,19450000,26.6506
Chr1,19450000,19475000,33.7075
Chr1,19475000,19500000,31.1627
Chr1,19500000,19525000,27.2343
Chr1,19525000,19550000,23.801
Chr1,19550000,19575000,23.9639
Chr1,19575000,19600000,25.3669
Chr1,19600000,19625000,29.1356
